epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8346,1.0674,7.03807,0.01306,0.00333,1,0.63769,0.54008,0.5726,8.41537,0.00577,0.00065,0.00065,0.00065
2,21.2312,1.1551,5.36138,0.01388,0.75222,0.35,0.57724,0.25817,1.07267,8.6653,0.01402,0.0012906,0.0012906,0.0012906
3,31.4123,1.21816,4.0767,0.01447,0.72687,0.8428,0.87579,0.66166,0.86673,3.49097,0.01318,0.00190479,0.00190479,0.00190479
4,40.4307,1.28822,3.26047,0.0152,0.77322,0.73333,0.82641,0.58703,0.97456,1.82513,0.01211,0.0018812,0.0018812,0.0018812
5,49.3829,1.23064,2.50362,0.01491,0.84322,0.8068,0.93052,0.70138,0.95445,1.22008,0.0142,0.0018416,0.0018416,0.0018416
6,58.8513,1.23512,2.00225,0.01559,0.74368,0.91667,0.8892,0.71177,0.8778,0.82,0.01062,0.001802,0.001802,0.001802
7,68.0591,1.19036,1.68932,0.01362,0.89003,0.80942,0.9239,0.66846,1.00386,0.80681,0.01324,0.0017624,0.0017624,0.0017624
8,77.5738,1.19728,1.45548,0.01452,0.95202,0.86667,0.97056,0.82913,0.67074,0.42801,0.00767,0.0017228,0.0017228,0.0017228
9,86.3366,1.18561,1.32217,0.01586,0.82394,0.91667,0.92984,0.75178,0.82737,0.55964,0.00997,0.0016832,0.0016832,0.0016832
10,95.0957,1.18328,1.18958,0.01439,0.94972,0.94454,0.98769,0.7922,0.75651,0.40492,0.01156,0.0016436,0.0016436,0.0016436
11,104.441,1.08234,1.00622,0.01317,0.94449,0.91667,0.98184,0.86087,0.62571,0.3486,0.00831,0.001604,0.001604,0.001604
12,113.414,1.14117,1.00543,0.01377,0.97387,0.88333,0.98079,0.87766,0.51079,0.31489,0.00616,0.0015644,0.0015644,0.0015644
13,122.265,1.2041,0.95806,0.01511,0.89925,1,0.97991,0.81547,0.716,0.43275,0.00978,0.0015248,0.0015248,0.0015248
14,130.581,1.12998,0.91033,0.01388,0.98266,0.94449,0.98694,0.85664,0.65062,0.3082,0.0072,0.0014852,0.0014852,0.0014852
15,139.148,1.06886,0.86852,0.01369,0.96319,0.93333,0.98408,0.8245,0.61155,0.33283,0.00758,0.0014456,0.0014456,0.0014456
16,147.925,1.05234,0.76061,0.01323,0.94224,0.95,0.98583,0.84379,0.6441,0.28714,0.00711,0.001406,0.001406,0.001406
17,156.701,1.00125,0.75949,0.01221,0.89988,1,0.98611,0.86489,0.54772,0.29632,0.00604,0.0013664,0.0013664,0.0013664
18,164.952,1.03322,0.73858,0.01286,0.96725,0.98463,0.99318,0.90602,0.46504,0.22393,0.00539,0.0013268,0.0013268,0.0013268
19,173.52,1.00142,0.71799,0.01205,0.99529,0.96667,0.99372,0.83143,0.71404,0.2373,0.00766,0.0012872,0.0012872,0.0012872
20,182.018,1.03024,0.73595,0.01266,0.96646,0.96062,0.99068,0.87821,0.52753,0.24785,0.00645,0.0012476,0.0012476,0.0012476
21,190.9,0.97981,0.70388,0.01227,0.93516,0.96159,0.98856,0.89287,0.49695,0.24638,0.00662,0.001208,0.001208,0.001208
22,199.541,0.96843,0.70286,0.0113,0.96714,0.9811,0.99369,0.91484,0.44154,0.20109,0.00524,0.0011684,0.0011684,0.0011684
23,208.175,0.96539,0.65334,0.01118,0.93469,0.95418,0.98789,0.88548,0.50873,0.25554,0.00628,0.0011288,0.0011288,0.0011288
24,216.997,0.89637,0.62842,0.01078,0.98329,0.98107,0.99336,0.89423,0.45792,0.19418,0.00556,0.0010892,0.0010892,0.0010892
25,225.77,0.97302,0.66689,0.0122,0.93321,0.98333,0.98852,0.87324,0.54553,0.27239,0.00666,0.0010496,0.0010496,0.0010496
26,234.272,0.92083,0.6144,0.01128,0.96121,0.98333,0.99218,0.92569,0.39564,0.21313,0.00415,0.00101,0.00101,0.00101
27,243.013,0.86408,0.62265,0.01067,0.98326,0.97898,0.99419,0.93019,0.37754,0.17752,0.00427,0.0009704,0.0009704,0.0009704
28,251.731,0.86714,0.59483,0.0106,1,0.94499,0.99252,0.93537,0.35483,0.20079,0.00456,0.0009308,0.0009308,0.0009308
29,260.272,0.85434,0.51106,0.01061,0.96619,1,0.99318,0.93616,0.36631,0.17989,0.00441,0.0008912,0.0008912,0.0008912
30,269.16,0.81652,0.54018,0.01024,0.99606,0.93333,0.98881,0.92126,0.37906,0.22728,0.00445,0.0008516,0.0008516,0.0008516
31,277.947,0.85946,0.5555,0.00988,0.96547,0.93211,0.98623,0.91968,0.36493,0.22947,0.0037,0.000812,0.000812,0.000812
32,286.804,0.8437,0.52614,0.01031,1,0.94508,0.99246,0.91838,0.39893,0.19548,0.00473,0.0007724,0.0007724,0.0007724
33,295.498,0.81917,0.52004,0.01,0.99393,0.98333,0.99423,0.91131,0.41282,0.17885,0.0046,0.0007328,0.0007328,0.0007328
34,304.078,0.81288,0.49616,0.00989,0.97822,0.96667,0.99273,0.94719,0.33057,0.17049,0.00346,0.0006932,0.0006932,0.0006932
35,312.671,0.75833,0.49189,0.00888,0.97257,0.98333,0.99386,0.94931,0.34004,0.15402,0.00392,0.0006536,0.0006536,0.0006536
36,321.443,0.81208,0.48659,0.01001,0.9795,0.96667,0.9929,0.96232,0.31891,0.15498,0.00377,0.000614,0.000614,0.000614
37,330.248,0.77228,0.50976,0.00928,0.95284,1,0.99306,0.94121,0.34929,0.16291,0.00397,0.0005744,0.0005744,0.0005744
